ID,sentence,label
facebook_corpus_msr_455612,royal enfield icon possible shake image,NAG
facebook_corpus_msr_503326,bank england ready infuse £bn additional funds economy help tide economic crisis likely caused brexit,NAG
facebook_corpus_msr_331191,called gaurakshaks claim r protecting cow mother gaumata dese gundaz sell der mother marketexport der mother countries shes use them shame dese bhakts,NAG
facebook_corpus_msr_1724078,communal feelings peak called multicultural country,AG
facebook_corpus_msr_731282,pappu leave till next election d,AG
facebook_corpus_msr_1979691,dear indian express feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa expect apology side mistake,AG
facebook_corpus_msr_441682,sharukh travels broad gauge steam engine reporter stop whistling every steam news,AG
facebook_corpus_msr_1804796,agreed,NAG
facebook_corpus_msr_1493903,heheheh suppose care image? pakistani heading toward sell whole nation china name cpec,AG
facebook_corpus_msr_1563601,matt ellis would believe thing israel says israel lies like sugar daddy america claims country cares look behind curtain nothing lies hatred toward others death,AG
facebook_corpus_msr_466200,metals rally sometime,NAG
facebook_corpus_msr_1945455,ram nath ji goenka must feeling shame successors,AG
facebook_corpus_msr_438540,really mr jack plz reveal much black money destroyed banks received around notes back accounts black money,NAG
facebook_corpus_msr_1922808,allowed travel goods train carrying beastshe worth are luxary enough it!!!,AG
facebook_corpus_msr_324334,surprised! perhaps u hear news launching cow ambulance service recently ambulance service poor n needy focus cowridiculous!,AG
facebook_corpus_msr_1775210,haha years development loot !!! good accept !!,NAG
facebook_corpus_msr_326776,pak army intruded indian terrirtory killed indian soldiers laugh cup tea biscuits mutilated bodies went back barracks tell rubbish happening indian border forces watching mia khalifa sunny leone?,AG
facebook_corpus_msr_330895,heh turkey rd class pathetic country know,AG
facebook_corpus_msr_1723665,u think u r going far u son bnigam,AG
facebook_corpus_msr_2127002,bjp seats seats win seat win siva sena land mark win according toilet paper,AG
facebook_corpus_msr_346512, heart suitpythonheart suitbotheart suitteamheart suit » tayyabxdtk « heart suito bot owner anger symbol tayyab khan anger symbol,NAG
facebook_corpus_msr_327927,surgical strike pakistan surgical strike media! long live modi diplomacy! saveindia,NAG
facebook_corpus_msr_1805717,,NAG
facebook_corpus_msr_1731689,digesting cattle food,AG
facebook_corpus_msr_1937577,mr kunder correct facts prove goon,NAG
facebook_corpus_msr_1956971,illiterates started teaching highest literacy rate people now u know ur literacy rate world among muslims ? horrible! lowest literacy rate among religions,AG
facebook_corpus_msr_503524,honble governor best one ,AG
facebook_corpus_msr_451805,maintenance bajaj keep bike get workshop u need,NAG
facebook_corpus_msr_334891,sitaram yechury amiable person marxist lobby dominated hardcore ideologuesas member upper house contributed constructively,AG
facebook_corpus_msr_469423,mean investment made relations friends,NAG
facebook_corpus_msr_349977,still support modi sarkaar rather chor congressmodi sarkaar much better stronger chor congress,AG
facebook_corpus_msr_1723569,banned banned religions well,AG
facebook_corpus_msr_425691,jio effect like modi jio rest all,NAG
facebook_corpus_msr_1805361,escape sin promoting useless fellow,AG
facebook_corpus_msr_466288,ex pm spoke jst wt speak opposin memberother ntng,NAG
facebook_corpus_msr_1804941,sanghi dose mila hai annaji ko fir se kyunki delhi jo mcd election hai filhal ab sab ko samajh gaye hai lokpal aur corruption crusader kitne paani hai aur kis k saath hai,AG
facebook_corpus_msr_470849,time invest bank stock specially sbi icici?,NAG
facebook_corpus_msr_399105,care eat even eat poo care,AG
facebook_corpus_msr_1716154,live country mob behaves like licence kill feel shameby ur logictaliban also right stone death people,NAG
facebook_corpus_msr_1884032,time laughatdeath tried yet?,NAG
facebook_corpus_msr_405067,time come close jnu government type institute run wasting tax money jnu students guts please earn money pay fees tax payer money wasted shameful,AG
facebook_corpus_msr_1943090, people died indian express finds humour itrip journalism,AG
facebook_corpus_msr_394476,lol indian army dog facepig army ha world largest time greater cant fight pakistan face tears joyface tears joy,AG
facebook_corpus_msr_431267,modi banded notes next step band congress party,AG
facebook_corpus_msr_420674,transformational reinventing sustainable india also rebuilding credibility core hindu value live let live mutual respect all,NAG
facebook_corpus_msr_1525114,kashmiris also people india indian occupation,NAG
facebook_corpus_msr_495265,word cost mean? take foreign debt consideration? consider human wealth?,AG
facebook_corpus_msr_430523,cnbc tv knocks competion budget congrats,NAG
facebook_corpus_msr_2018497,fcuk shikha sharma,AG
facebook_corpus_msr_466226,mr narang matter time stupid enough believe govts works betterment masses need read thoroughly prince niccolo republic plato sure govt complete term office bigger scams quote thats dr manmohan singh talking about,AG
facebook_corpus_msr_1599828,hope car occupants safe unharmed,NAG
facebook_corpus_msr_469906,hello sun pharma short term long term?,NAG
facebook_corpus_msr_382123,tit tat waymodi request u plz action asap,NAG
facebook_corpus_msr_2018673,reason?ifu,AG
facebook_corpus_msr_329038,nothing new it indians gossip take action instead spreading failures,AG
facebook_corpus_msr_430440,remain seen inc uputtarakhandmanipur attract first time highly tech savy voters towards inc spikes recent poll pc points massive participation section poll moreover mann ki bate directly points section relentleslycheck mark,NAG
facebook_corpus_msr_452509,want upgrade cc cc,NAG
facebook_corpus_msr_418425,tech mahindra nd stock like tcs infy wipro,NAG
facebook_corpus_msr_2287073,cheap publicity stunt may wants big boss,AG
facebook_corpus_msr_456078,like duke took much time launch it give name changing look reduce price ????,NAG
facebook_corpus_msr_1805657,respect,NAG
facebook_corpus_msr_2081696,sehwag comments made sense all made stupid comparison big difference cricketer martyr ,AG
facebook_corpus_msr_463813,bought one plus two months ago days back dropped got entire screen cracked though working fine able repair due unavailability service centre jammu kashmir frustrating,AG
facebook_corpus_msr_326834,thats happens cant discern military activity act barbarism remember nli bodies whose soldiers refused acknowledge kargil conflict so keep knowledge live fantasy land,AG
facebook_corpus_msr_331182,cows definitely gonna vote modi ji ,AG
facebook_corpus_msr_2111140,congress mukt bharat k saath saath tumlogo ka v safaya ho jayegaharam khoro yrs hindu ka converstion hua islam is par kya bologechutiya party india cpi,AG
facebook_corpus_msr_1563620,surprised another dictatorship begins form,AG
facebook_corpus_msr_494038,true legend simply unparalleled kudos greatest philanthropist,NAG
facebook_corpus_msr_1689985,stupid survey thumbs downthumbs downthumbs,AG
facebook_corpus_msr_1805469,anna hazard novice now voice got value,AG
facebook_corpus_msr_503340,isro copied face book technology as simple,NAG
facebook_corpus_msr_2280155,well kuwait american colony isnt it?,NAG
facebook_corpus_msr_503001,time post much positive previous one sir mukherjee d,NAG
facebook_corpus_msr_331419,enough support already turkey ally like traitor come solve kashmir issue lol,AG
facebook_corpus_msr_2111302,support speech rss divider country want stay peace india communal,AG
facebook_corpus_msr_1804925,perfect example vridha asharam people see repeat words heard early morning indian media using aana ji take wrong negative comments either bjp aap would say poor performance,AG
facebook_corpus_msr_409187,would first time history nobel prize bitchs name proposed along humans!,AG
facebook_corpus_msr_2032100,doubt? holding many pistols ammunition etc ?if police rounded holding firing police?,AG
facebook_corpus_msr_397437,course nothing made porikistan except training militantsthat well known chinkis took advantage r colonising pokistan looting thier reserves cpec,AG
facebook_corpus_msr_325392,name minister mlamp whose son working armybsfcrpf sacrificed lives nation serving border? name minister mlamp whose children going government schools? name minister mlamp whose family treated common government hospitals big private hospitals? name minister mlamp whose children big luxurious carshomes millions rupees? name minister mlamp whose family visited abroad taxpayer’s money? name minister mlamp whose family stay star hotels visit states within country name minister mlamp whose family couldn’t get railway plane ticket even hour before big list make us fool saying people equal reality know experience,NAG
facebook_corpus_msr_2126947,bt massive win? seriously?,AG
facebook_corpus_msr_407765,idiot realises truth slave single family rule destroyed nation years !!!!!!!!!!!!!!!!!,AG
facebook_corpus_msr_421068,hi anuj view balkrishan industries sun pharma,NAG
facebook_corpus_msr_431157,mr macchiwala spoken muslims gujrat thankful saved lives know get idea modi responsible riots,AG
facebook_corpus_msr_429353,sir open doors competition telecom market good bless you,NAG
facebook_corpus_msr_328978,govt care army rss else rss vs indian army ?,AG
facebook_corpus_msr_408895,actually kassab hanged died natural death dengue? doubt govt release video evidence prove kassab actually hanged,NAG
facebook_corpus_msr_233887,first finish called intellectual supporting antinational,NAG
facebook_corpus_msr_334503,please change kujliwal needed bjp like rahul gandi,NAG
facebook_corpus_msr_469411,pm already program still aired,NAG
facebook_corpus_msr_327049,linux free virus proof? microsoft windows expensive? virus proof? pc manufaturers prefer microsoft windows linux ?,NAG
facebook_corpus_msr_403354,tow terrorst killd bouderindian army terrorst mob,AG
facebook_corpus_msr_1723023,question sir please name temple please also kashmiri pandits chanting bhajans?,AG
facebook_corpus_msr_470272,great n doubt,NAG
facebook_corpus_msr_2018556,also according feminists aggressive comparable nazis even know nazis happened holocaust? really comparing aggressive feminism genocide?,AG
facebook_corpus_msr_397429,pakistan sending dead bodies india d like yesterday attack,NAG
facebook_corpus_msr_435319,invested technology secure transactions differentiate bank players shikha sharma,NAG
facebook_corpus_msr_1692633,graduation sub political science u knw thn pist opinion poll playing important role terms propaganda set people mind,NAG
facebook_corpus_msr_2081690,watch dont watch anything else,AG
facebook_corpus_msr_2241597,nonsense,AG
facebook_corpus_msr_424603,revenue projections owned minister irrespective projections given industry perspective think scenario building contingencies case projections business perspective get beyond self glorification budgets,NAG
facebook_corpus_msr_404544,country illiterate pm like modi people expect people dying india without home food pm busy making adhaar card animal really shameful situation crore indian,AG
facebook_corpus_msr_1805112,anna see corruption bjp congress thats happening past years ??,AG
facebook_corpus_msr_436417,could ask vishal views automation artifical intelligence reskill people,NAG
facebook_corpus_msr_416595,mah govt loss annual revenue plus increase unemployement planning rope km area highway concerned municipal dept bars shops mumbai already working everyone knows govt litreally go bankrupt without industry revenue,NAG
facebook_corpus_msr_1521890,vishnu sreevalsan mothers day greet them hope mummy stays yummy mothers day,AG
facebook_corpus_msr_2287072,entertainment  niasharma slutshamed posting music video actor perfect response posted second video!,AG
facebook_corpus_msr_334053,call airforce bomb hell dantewada,AG
facebook_corpus_msr_1961702,crocodile tears,AG
facebook_corpus_msr_469975,takes quite mkts consolidate u want cash immediately get married someone q avail rs lakhs cash forget invite bank branch manager wedding enable confirmation!!!,NAG
facebook_corpus_msr_1945500,friends stop giving much importance foolschachunder just,AG
facebook_corpus_msr_495115,come script thats mention cnbc never makes tht,NAG
facebook_corpus_msr_2109815, jammu kashmir state need business corridor jk state people excitement misguided infiltrators since days got thousands replys received jk state people pakistan peoples wrote thesis regarding intolerance jk state people depend terrorist organisations pakistan militents anti national elements people making stone pelting army police raised slogans favor anti national attitude wearing isis dressess pakistan flags jk state students need get admissions south india collages mutual understanding interaction jk state south states verdict big salvation intolerance need marriage proposals south north jk state people jk state suffer lobour acts implementations route map life survive good opportunities major problem jk state thats teenagers following unlawful act need industrial hub jk state better earnings request prime minister modi ji that please bring new reforms jk state better future citizensjai hind v p yadav journalist +,AG
facebook_corpus_msr_1723008,stopped,AG
facebook_corpus_msr_1805619,yes,NAG
facebook_corpus_msr_451785,transform bike know it human transformers!,AG
facebook_corpus_msr_446068,sir u carry on! india understand fake,AG
facebook_corpus_msr_327846,pakistan monday rejected indias accusation killed two soldiers unprovoked firing mutilated bodies near line control jammu kashmi drama,NAG
facebook_corpus_msr_325902,words indian army saying pakistani soldiers went across loc indian side mutilated bodies two indian soldiers came back one indian side dared engage face tears joyface tears joy,NAG
facebook_corpus_msr_437780,reason see upswing power sector today,NAG
facebook_corpus_msr_1521771,compared regard infant mortality literacy rate give right kill infants,NAG
facebook_corpus_msr_470169,research ground work dude media giving correct pic indian support modis decision,NAG
facebook_corpus_msr_483630,shares prices tata sons going increased,NAG
facebook_corpus_msr_1818429,anirban kundu pesticide,AG
facebook_corpus_msr_429271,jio change aweaome jio slap idea airtel,NAG
facebook_corpus_msr_332813,proved mentality read comment understand intellectually knowledge visual technology u nt novice comment comment scripts ,NAG
facebook_corpus_msr_1979833,dear indian express feel sorry write journalists misinterpret events present distorted manner make sensational headlines news upcoming singer nahid afreen prepared without proper research investigation sad see journalists even know difference fatwa appeal fatwa nonbinding legal opinion issued qualified jurist mufti request someone unable understand religious guidelines whereas leaflet circulated presented fatwa hard copy appeal signed men believe religious practices merit appeal discussed many grounds many dimensions first foremost appeal called legal opinion fatwa expect apology side mistake,AG
facebook_corpus_msr_328340,congress f gandhis change make sachin pilot president,AG
facebook_corpus_msr_325809,darma no viletions pak army india army presure unrest country,AG
facebook_corpus_msr_430475,hi team need help you people coverage everything please coverage village please stay one village village still dint get patta chitta land since villages got india entire india panchayat dint get patta chitta land around former housed govt saying formers back bone india lot agriculture dont get facilities government struggling lot please help reached lot mlas ministers asking bribe number ,AG
facebook_corpus_msr_437328,wardswe follow new way banksin previous days deposited total money draw ever req dobut wards need based deposits only,AG
facebook_corpus_msr_2082471,secure ?? lol,AG
facebook_corpus_msr_1723034,hypocrites everywhere,AG
facebook_corpus_msr_442405,transfer fee additional backfire existing monthly budget,NAG
facebook_corpus_msr_2018533,individual choice working mother working mother one right put forth opinion others competition rather justice talent multi tasking cup tea look like,AG
facebook_corpus_msr_429182,humble mukesh ambani pieces entrepreneurs inspire generation folded handsthumbs upok hand,NAG
